company,date,description,location,title
Synechron,2022-04-05,"Experience : 5 Plus YearsNeed strong experience in Java,Springboot,Microservices","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Having immediate open role For Java Developer_Hyd / Pune.
HCL Technologies,2022-04-05,Experience: 5 to 8 yrs,"Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",HCL Weekend Drive Java Automation - 9th and 10th April.
Mindtree,2022-04-05,"Dear Candidate,Greetings from Mindtree. We have an excellent opportunity for GCP Infrastructure Devops Engineer.Job Description:Google Cloud Infrastructure DevOps Engineer (6 - 8 years of Experience) Responsibilities:Provision GCP resources based on the Architecture design and features aligned with business objectives.Provision GCP resources for Data Engineering and Data Science projects.Assistance with deployment and troubleshooting applications in Kubernetes.Monitor resource availability, usage metrics and provide guidelines for cost and performance optimization.Assist IT business users resolving GCP service-related issues.Provide guidelines for cluster automation and migration approaches and techniques including ingest, store, process, analyze and explore visualize data.Assistance with automated data ingestion, data migration and transformation (good to have) .Establish connections and credibility in how to address the business needs via design and operate cloud-based data solutions Ideal Mind: Strong written, verbal skills.Experience in Google Cloud services provisioning.Experience in provisioning GCP Cloud services using Terraform.Experience in Google Kubernetes engine, Cloud composer, BigQuery, AI platform Vertex AI, Cloud Dataflow, Cloud Dataproc, Cloud function, Cloud SQL. Hands on experience with Kubernetes (GKE).Experience with DevOps and Management tools : Terraform, Docker, Stack Driver suite, etc. Experience with GCP based security (IAM, ACL, firewall rules, data traffic encryption). Experience in GCP resource maintenance, monitoring and issue troubleshooting. Google Cloud Certified Professional Data or DevOps Engineer preferred.Work experience with geographically distributed teams and on-site offshore models. Mandatory skills: Google Cloud (GCP), Cloud Operations, Terraform, Kubernetes (GKE), Jenkins, Gitflow and Python programming. .If you are interested, reach me at nandini.lakshminarasimhaiah@mindtree.com with the below details:Overall Experience:Relevant Experience:Current CTC:Expected CTC:Official Notice period:DOB:Current Location:Preferred Location:Work Location: Bangalore/Chennai/Hyderabad/Pune/Noida/Kolkata.","Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",GCP Infrastructure Devops Engineer at Mindtree
Concentrix ,2022-04-05,"Job Title: Salesforce Apex DeveloperYears of Experience: 5+ yearsLocation: PAN India Mode of Hire: PermanentNotice Period: Immediate / 15 Days Job Description:•	5+ years of experience working on Salesforce platforms•	Strong experience in Apex•	At least Salesforce certification “Salesforce Platform Developer II”•	Direct experience working on CRM projects for middle market and enterprise size companies•	Working knowledge and experience with complex business systems integration as well as object-oriented design patterns and development•	Software engineering skills with Force.com Platform (Apex, LWC, SOQL, Unit Testing)•	Experience in core web technologies including HTML5, JavaScript and jQuery•	Demonstrated experience and knowledge of relational databases, data modelling, and ETL tools•	Experience with web services (REST & SOAP, JSON & XML, etc.)•	Experience with Agile development methodologies such as SCRUM•	ITIL v3 foundations certified preferred•	Excellent organizational, verbal and written communication skills","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Job Opening For Salesforce Apex Developer @ Concentrix - PAN India
CitiusTech,2022-04-05,"Senior Application Developer with 7+ years of experience in Ruby on Rails and at least 3 years of full-stack experience Proven experience in REST based web services,BOOTSTRAP / HTML/CSS and other front end frameworks  App Stack Bootstrap theme experience is an added advantage - Brings clear understanding of Healthcare IT and Digital Solutions Good time-management skills","Chennai, Pune, Navi Mumbai, Bengaluru, Hyderabad",Urgent hiring For Ruby on Rails | 30 days joiners | CitiusTech !!!
DXC Technology,2022-04-04,"Shift Occasional shift work requiredStrong experience(5yrs) in managing large infrastructure including applications (Applications,Servers,Hardware,Virtualization,Storage,Database,Networking and Security) across Unix / Linux,Windows operating systems","Chennai, Pune, Mumbai, Bengaluru, Hyderabad, Noida",Site Reliability Engineer (SRE)
DXC Technology,2022-04-04,"Redhat Openshift CertificationExperience with the following operational tools,concepts & technologies as required: Work within the team to deliver a multi-skilled capability across multiple container technologies and disciplines,participate in continuous upskill and training to maintain individual and team skills such as: Understanding of Red Hat Enterprise Linux (RHEL) is must","Chennai, Pune, Mumbai, Bengaluru, Hyderabad, Noida",Openshift Engineer
DXC Technology,2022-04-04,"The DXC Cloud (Azure IaaS/PaaS) Operations SME focuses on leading team/squad in maintaining the Azure cloud environments of DXC customers as per the environment design and contractual agreements.The main goals are to deliver agile and secure managed services on Azure cloud platforms, to continuously increase the level of automation and security, to ensure high availability of the service, and to achieve a high level of customer satisfaction.The Cloud Operations (Azure) SME is an experienced, multi-skilled professional, who can provide Technical Leadership for a small team responsible for delivering reactive and proactive operational support end-to-end in DXC-managed cloud environments.The Cloud Operations (Azure) SME is motivated to take strong ownership on actions, to find innovative ways to improve the services’ agility and efficiency, and to continuously gain more skills. The DXC-managed cloud environments are envisioned to mature into a DevOps delivery model.ResponsibilitiesSupports 24x7 operations of production Azure IaaS/PaaS Cloud environmentsIncludes monitoring, incident response, answering service requests, and execution of changesShould possess SME level expertise in Azure and other Platform technologies like Windows/Linux/Networking skillsStrong Soft skills – leadership skills, deal with ambiguity, ability to lead from front, stake holder management, communication skills etcStrong background in delivery of SLA based Managed ServicesGood in ITIL conceptsShould be excellent in troubleshooting skillsIdentify areas of operations with quality deficits or automation opportunities and work to improveTake full ownership of incoming actions and issues and drive them to resolutionWork within multi-skilled Cloud Operations teamConsulting with other team members to extend your reach to get to successProactively and continuously improve the service throughdriving further automation by scripting repeatable tasksimproving monitoring metrics to detect incidents before they occurLeverage automation tools and Infrastructure as Code tools to maintain environmentUnderstand and contribute to processes and tools used by teamSkills and QualificationsTrained/Experienced and Certified in Azure cloud platforms:Microsoft Azure (Primary)Microsoft Azure PaaS services – App Services (Web Apps, Mobile Apps, Logic Apps, Azure Functions, Azure WebJobs etc), Development Tools, Business Analytics, PaaS DB, AKS/Kubernetes (Primary)Automation/Scripting - bash, ksh, Python, Windows batch, PowerShell scripting, JavScriptDevOps/Agile/SRETrained and certified in ITILAWS, Google Cloud Platform, Oracle Cloud Infrastructure, OpenStack (optional)Expertise in one or more of the following technical domains: Windows, Linux, Database, Storage, Networks, Scripting, SecurityAbility to learn and adapt to new frameworks/technologies and quickly integrate with them for automation service deliveryAble to find effective workarounds to product limitations/constraintsTeam worker with strong ownership and drivePrevious experience in IT infrastructure deliveryDevOps/SRE & Agile methodology experience, working with small agile teams, is a plusExperience with the following operational tools, concepts & technologies as required:Work within the team to deliver a multi-skilled capability across multiple technologies and disciplines, participate in continuous upskill and training to maintain individual and team skills such as:Cloud systems configuration and management toolsAzure Resource Manager (ARM)Azure OMSCloud CheckerCrowdStrike (Anti-Virus)AWS CloudFormation (optional)Scripting - bash, ksh, Python, Windows batch, PowerShell scripting, Python, JavScriptWeb Services & API integrations using REST, SOAP, Perl, PHP, HTML, XML, XSLT (optional)Experience with continuous configuration automation/orchestration toolsAnsible, Chef, PuppetGit/Github, JenkinsDocker, KubernetesSoftware Defined NetworkingJira Agile Project management toolsConfluence Wiki documentationJob Level – SME, Specialist/ExpertSchedule - Full-timeShifts – 24*7","Chennai, Pune, Mumbai, Bengaluru, Hyderabad, Noida",Cloud Operations Analyst
DXC Technology,2022-04-04," ResponsibilitiesSupports 24x7 operations of production Azure IaaS/PaaS Cloud environmentsIncludes monitoring, incident response, answering service requests, and execution of changesShould possess very good working experience in Azure and other Platform technologies like Windows/Linux/Networking skillsStrong background in delivery of SLA based Managed ServicesGood in ITIL conceptsShould be excellent in trouble shooting skillsIdentify areas of operations with quality deficits or automation opportunities and work to improveTake full ownership of incoming actions and issues and drive them to resolutionWork within a multi-skilled Cloud Operations teamConsulting with other team members to extend your reach to get to successProactively and continuously improve the service through driving further automation by scripting repeatable tasksimproving monitoring metrics to detect incidents before they occurfixing incident root causes by contributing code fixes or design changes back to the service specificationsExecute service requests logged by customers within scope of servicesLeverage automation tools and Infrastructure as Code tools to maintain environment and execute changes while adhering to change management processUnderstand and contribute to processes and tools used by teamIdentify areas of operations with quality deficits or automation opportunities and work to improveContribute relevant automation and operation improvements back to development teamsSkills and QualificationsTrained/Experienced and Certified in Azure cloud platforms:Microsoft Azure IaaS (Primary)Microsoft Azure PaaS services  App Services (Web Apps, Mobile Apps, Logic Apps, Azure Functions, Azure WebJobs etc), Development Tools, Business Analytics, PaaS DB, AKS/Kubernetes (Primary)Automation/Scripting - bash, ksh, Python, Windows batch, PowerShell scripting, JavScriptDevOps/Agile/SRETrained and certified in ITILAWS, Google Cloud Platform, Oracle Cloud Infrastructure, OpenStack (optional)Expertise in one or more of the following technical domains: Windows, Linux, Database, Storage, Networks, Scripting, SecurityAbility to learn and adapt to new frameworks/technologies and quickly integrate with them for automation service deliveryAble to find effective workarounds to product limitations/constraintsTeam worker with strong ownership and drivePrevious experience in infrastructure deliveryDevOps/SRE & Agile methodology experience, working with small agile teams, is a plusExperience with the following operational tools, concepts & technologies as required:Work within the team to deliver a multi-skilled capability across multiple technologies and disciplines, participate in continuous upskill and training to maintain individual and team skills such as:Cloud systems configuration and management toolsAzure Resource Manager (ARM)Azure OMSCloud CheckerCrowdStrike (Anti-Virus)AWS CloudFormation (optional)Web Services & API integrations using REST, SOAP, Perl, PHP, HTML, XML, XSLT (optional)Experience with continuous configuration automation/orchestration toolsAnsible, Chef, PuppetGit/Github, JenkinsDocker, KubernetesSoftware Defined NetworkingJira Agile Project management toolsConfluence Wiki documentation","Chennai, Pune, Mumbai, Bengaluru, Hyderabad, Noida",Cloud Operations Engineer - Azure IaaS / PaaS
DXC Technology,2022-04-04,(1) Windows and (1) Linux SME or preferred a little of bothAmazon Linux experience a plus,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad, Noida",AWS Cloud Developer - ITO
HCL Technologies,2022-04-04,"Roles and Responsibilities  Skill: Azure Data FactoryExp: 10+ yearsLocation: AnyExtensive knowledge in architecting modernized data platforms in the Azure landscape using  Azure Data bricks, Azure Data factory V2, Storage Accounts (Blob storage), Azure Data Lake Store, Azure SQL Database and Azure SQL Data Warehouse.Regards,Bharathi","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",HCL Looking For Azure Data Factory
HCL Technologies,2022-04-04,Consultant must be able to functionally configure and manage Finance module from scratch Consultant must be able to functionally configure HCM jobs and populate data required to run the job,"Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",HCL Hiring - SAP Finance  and  Oracle HCM Consultant
Accenture,2022-04-04," Project Role: Application Developer Project Role Description: Designs the integration strategy endpoints and data flow to align technology with business strategy and goals. Understands the entire project life-cycle, including requirements analysis, coding, testing, deployment, and operations to ensure successful integration. Must have Skills: Oracle Revenue Management & BillingKey Responsibilities: Configuration / testing of Oracle Revenue Management and Billing Modules Preparation of Deliverables Configuration Workbooks, Test Scripts, requirements, process flows Should be able to articulate solutions for Oracle RMB implementation and provide recommendations for business requirements and own proposal responses Technical Experience: Should have done hands-on configuration, pricing rules engine setup and handled such implementation for high volume transactions, aware of integrations with Oracle Documaker and with R12 EBS Minimum of 3 years of experience working with Oracle RMB Revenue Management Billing Minimum of 2 years of experience with functional testing for Oracle RMB applications Minimum of 1 Full life cycle implementation Oracle RMB Professional Attributes: Good Communication skills Individual Contributor Innovator Professional conduct Timely completion of quality deliverables ","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)","Oracle Revenue Management & Billing

"
Genpact,2022-04-04,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the worlds biggest brandsand we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us! Inviting applications for the role of Hyperion SupportingResponsibilitiesGood understanding of Oracle Hyperion Financial Management, Hyperion financial reporting, FDMEE, smartview & shared service.Strong experience of business rules, data management, calculation manager, user security, filters, web-forms, tasks lists, rules files, etc.Good understanding of Pre and Post close activities.Data management, data reconciliation & validation.Good knowledge on Metadata attributes and members.Experience in develop metadata, data grids and data form as per the requirement in HFM.Prior experience in artifacts & security migration and managing lifecycle management (LCM) migration is added advantage.Be the primary point of contact for assigned pursuits to work with the customers for Supporting Planning applications.Strong analytical skills, problem solving/debugging skillsBasic understanding of P&L, balance sheet and cashflow.Do fit-gap analysis for the changes, features in new releases.Good communication skills and ability to interact with stakeholders on regular basisQualificationsMinimum qualificationsB.E., B-tech CA, ICWAI and MBA4 to 5 years of Hyperion Financial Management experienceWell-versed with the fundamentals of data management and data governance.Good at client handling and stakeholder management communication skills Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube. ","Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata",Genpact Hiring For Hyperion HFM- PAN India
Teamlease Servcies limited,2022-04-04,"Experience in PL1/1, JCL, REXX, Java, SQL, Streamserve. DB2, IMS. ISPFSDSFSCLMTWSQMFSPUFIRACFOPC/TWSFTPIBM Personal CommunicationMVSDB2 AdminMQ Series ","Chennai, Pune, Bengaluru, Hyderabad, Gurgaon, Kolkata, Mumbai (All Areas)","Application Developer-zOS
"
Teamlease Servcies limited,2022-04-04,Experience with DB2 on the Cloud implementation,"Chennai, Pune, Bengaluru, Hyderabad, Gurgaon, Kolkata, Mumbai (All Areas)","Application Database Administrator-Rdbms
"
Oracle,2022-04-04,"Required Skills:FullStack software development role with 2-6 years of experience in the following:Job Location: Mumbai, Pune, Bangalore.Java JEE/Serverside development :Must have strong Technology       experience in Java/J2EE ,JPA, Webservices(REST,SOAP) etc.Developed applications using       REST APIs with JSON payloads, Domain driven design or micro services       architecture.Experience in building highly       secure APIs and web applications.In depth understanding of Java       Design patterns.Experience working with popular       frameworks like Spring etc.Experience in building       enterprise integrations using any Enterprise Service Bus (ESB) Platforms.Javascript/User Experience  ecosystemMust have hands-on development      experience in design and build of responsive UI using HTML5, CSS3 and      JavaScript .Expert skills in use of various      JavaScript libraries like requireJS, nodeJS packages, jQuery and jQueryUI      etc.  MVVM development experience using      KnockoutJS or Angular.Experience using JSON payloads      and REST APIs.Experience of Cordova for      packaging and customizing hybrid mobile apps.Experience in building workflows      and complex UI component libraries.Additional preferencesExperience in digital banking       technology or fin-tech domain, experience on OBDX and OB API platforms is       a definite plus.Experience of working with       Weblogic/Tomcat/JBoss application servers, Oracle database.Good understanding of DevOps and       automation concepts and experience of working in Agile projects.Strong written and verbal       communication skills with the ability to communicate with various project       stakeholders.Strong Interpersonal skills with       ability to maintaining good working relationships with customer or with       Internal stakeholders.Good understanding of android       and iOS native code to supplement the Cordova apps.Ability to lead technical teams       towards positive outcomes.2-7 years of overall experience in relevant technical roles. Undergraduate degree or equivalent. Ability to communicate effectively and build rapport with team members and clients. Ability to travel as needed.","Chennai, Pune, Mumbai, Bengaluru, Hyderabad",Full Stack Developer
HCL Technologies,2022-04-04,"An ideal candidate should must have minimum 5+ years of experience in AEM or CQ5 with deep understanding of all AEM building blocks including templates,components,capable of creating complex (Example: nested Multifield) dialog and retrieve the data using JavaBeans,workflows,widgets,of large-scale web projects8 years experience as Adobe Campaign Developer Good communication skills","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",HCL IS Looking For AEM - Pan India
DXC Technology,2022-04-04,"Experience with one of Cloud platforms such as AWS,Pivotal Cloud Foundry,OpenShift,Azure,Google Experience working with Web Application development,distributed and parallel systems,developing large software systems Experience working on Agile Scrum and DevOps aligned delivery teamsPlease note the above statements describe the general nature and level of work only","Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad, Mumbai (All Areas)",NODE JS Engineer - DXC Technology
Accenture,2022-03-30,"MBA from a tier 1 instituteMinimum 2 to 6 years of design and application experience implementing multichannel self-service / IVR and Omni-Channel Orchestration Routing on Genesys Engage / Pure Connect / Pure Cloud / Engage Cloud suiteYour experience counts!Functional and hands on experience on Voice and Non-Voice (SMS,Email,Chat etc.)","Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Gurgaon, Hyderabad",CN - Strategy - ACE - CS&S - Genesys - 09
DXC Technology,2022-03-30,"Review,develop,and maintain translation specifications design documents,system and user documentation (as required) Codes and constructs translation software components as required","Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad, Mumbai (All Areas)",DXC Technology Is Looking For - EDI Mapper /Open Text
DXC Technology,2022-03-30,"Having hands on experience in SAP SD and MM Module and also having knowledge in Integration between SD,MM and FIHaving hands on experience in SAP SD and MM Module and having knowledge in Integration between SD,MM and FIStrong experience in SAP GTS Implementation and support with minimum 5 years experience in GTS","Chennai, Pune, Mumbai, Bengaluru, Hyderabad, Noida",SAP GTS
Capgemini,2022-03-30,Hands-on design and in-depth development experience in Microsoft NET technologies including C ASP NET MVC Web API Entity Framework and LINQ Experience in Sitecore 9 Certification development and working experience on Sitecore 9 Azure PaaS ReactJS Solid programming Knowledge of MS SQL Server and MongoDB Experience with version control systems GIT,"Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Sitecore Senior Developer
Capgemini,2022-03-30,Hands-on design and in-depth development experience in Microsoft NET technologies including C ASP NET MVC Web API Entity Framework and LINQ Experience in Sitecore 9 Certification development and working experience on Sitecore 9 Azure PaaS ReactJS Solid programming Knowledge of MS SQL Server and MongoDB Experience with version control systems GIT,"Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Sitecore Developer
Cognizant,2022-03-30,"Should be able to play a role of IICS Data / Application Integration Developer Expertise in Informatica Cloud (IICS) Application (API) development Must Good communication skills for daily client interaction2 to 8 years of Experience in IICSExperience in Informatica PowerCenter,PLSQL,Shell Scripting","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Cognizant is Hiring For IICS
Capgemini,2022-03-30,Candidate should have proven track record of successful delivery as Architect for at least 2 Teleco and Media Sector CRM implementations with B2B and B2C digital transformationsExperience with Salesforce platform skills in an administrative / developer capacity and a detailed understanding of the Salesforce.com data model and architecture,"Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad, Gurgaon, Noida, Kolkata, Mumbai (All Areas)",Excellent Opportunity For Senior Salesforce Professionals
Tech Mahindra,2022-03-30,"Hi All, Please find the JD below.Overall 4+ years IT experience in Managing Large Applications Management Support Projects in GE Plant Apps or MES areaMin 4 to 10 years of relevant experience in GE Plant Apps or equivalent MES platformMust have Techno-Functional skills in GE Plant apps; experience in SQL server, PTC ThingWorx, OSI PI Historian will be an added advantage.Experience working in Manufacturing or Retail customer in MES will be an added advantageShould have handled large/complex Application Management Support ProjectsMust have managed large team and have executed projects in customer facing environmentGood communication and presentation skillsPrepared to work in Shifts Roles and Responsibilities Desired Candidate Profile Perks and Benefits ","Chennai, Pune, Mumbai, Bengaluru, Hyderabad",Urgent Opportunity For MES & GE Proficy
OLA Foods,2022-03-30,"Multiple Locations - Mumbai, DelhiNCR, Kolkata, Chandigarh, Jaipur, Lukhnow, Ahmedabad and CoimbatorePlease apply using the following Link:https://docs.google.com/forms/d/e/1FAIpQLSeJYFadkLkd5gb83CpubNFe51YjFRtxULtXwbi2iyXqKNXqUg/viewform?usp=sf_linkJob Description - F&V OperationsManage large big box technologically enhanced high end warehouse operations.Driving SOP and KPI for warehousing and logistics operations and benchmark them.Active warehouse and logistics Budget and P/L management.Work closely with all the functions and 3PL F&V vendors as well distribution vendors to achieve overall business goals.Warehouse efficiencies and SLA management.Distribution (Mid-mile & Last mile Logistic).Planning & Managing reverse logistics.Plan and identify root causes of inventory deviation through cause and effect analysis.Drive productivity and improve cost efficiency.FEFO & FIFO Management.Reduce shrinkage.RTV (Returns to Vendor).Coordination with the POD / Store operations team for smooth material movement.Warehouse Stock audit.Engaging with various teams to streamline the processes and operations.Creating annual calendar for peak seasons and planning operations accordingly to requirement.Desired Skills3+ years of experience in establishing and managing multiple and large big box technologically enhanced high end warehouse & logistic operations.Experience in managing Fruits and Vegetable warehouses and packaging centers.Diploma / Degree in Supply Chain Management / Warehouse & Logistic Management.Effective Analytical, Communications & Excel skills are a must.Ability to work as a team player in a target driven work environment.Should have experience towards managing a large team.Ability to interact, communicate & present ideas.Ability to think Consumer first and go deep into consumer needs and create innovative solutions for their needs.Overall should have managed warehousing planning, Distribution & logistic operations of leading organizations.Ability to forecast and determine productivity requirements to produce during the day to meet the overall building objectives.Drive process improvements and the ability to keep pace with our explosive growth while motivating others in an effort to reduce shrink.Ability to develop systems, processes, and infrastructure related to warehouse & logistics.Implemented lean process and innovative technology solutions to improve automation and productivity.Ability to analyze various business scenarios and recommend prompt actions for exponentially expanding business.","Pune, Delhi NCR, Lucknow, Ahmedabad, Bengaluru, Chandigarh, Coimbatore, Hyderabad, Mumbai (All Areas)",Sr. Executive F&V
Teamlease Servcies limited,2022-03-30,"Bachelors degree in computer science or a related field Minimum of 2 years of experience developing modern,responsive,and cross-browser-compatible websites using HTML,CSS,and JavaScript Experience with JavaScript libraries such as jQuery and Bootstrap","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Front End Developer
Teamlease Servcies limited,2022-03-30,Candidate should have min exp of 2+,"Chennai, Pune, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Immidiate openings on Python Developer
Accenture,2022-03-30,"Roles and Responsibilities  Key Responsibilities :1 Design, build and configure applications to meet business process and application requirements 2 Would be performing technical review of all the development activities 3 Will be working on personal commercial lines 4 Will be working on personal lines AUTO, HOME UMBRELLATechnical Experience :1 Candidate should have 5-6 years of experience in Duck Creek functional knowledge 2 Good understanding of underwriting, rating, insurance rules, forms, claims billing Strong exp on Duck Creek 3 At least 1-3 year hands on exp as a Manuscript Developer working on personal commercial lines Exp on Version upgrade of platform Template upgrade, Circular implementation Rate, Rule form .Experience- 3.5-5.5 yrs","Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Duck Creek Policy
Genpact,2022-03-30," FAH TECHNICAL ARCHITECTResponsibilities:Vast experience in finance and Oracle      EBS and Cloud Financials An expert in FAH implementation and      create high level solution design Analyze the business requirements and      map to functional and technical design Analyze the upstream and downstream      impact of the FAH transactions Identify feasibility of deriving      additional attributes / columns in FAH vs Middleware Finalize inbound and outbound      interfaces Coordinate in creation of testing      strategy Understand the business process to map      the source data to FAH and to the EBS journal entries Work with business to identify      roadblocks and setup realistic project plan and deliverables Minimum qualifications:CA, MBA etc. with relevant knowledge and experience in Finance      & AccountingPreferred qualificationsExtensive experience with Oracle EBS and Oracle Cloud in Finance      modules is critical.Implementation experience of Oracle General LedgerExperience in Oracle R12 Financial Implementation or MigrationFusion Accounting Hub (FAH) Implementation experienceShould have experience in Oracle Implementation and SupportCommanding knowledge in Accounting and Business Process Flows.Deep knowledge of Oracle GL, AP, AR, FA, CM, FAH.Good communication and customer facing skills.Tried capability in designing solutions and providing process      consulting.","Pune, Mumbai, Bengaluru, Hyderabad, Gurgaon, Noida",FAH Technical Architect
HDFC Bank,2022-03-30,"Hi, Greetings of the day from HDFC Bank - Talent Acquisition Team!!  We hiring for Relationship Manager - Emerging Corporates Group across Pan India  Business Unit : Emerging Corporate Group - Reports to (job) : Unit Head / Team Lead Location of role : Pan India Role Type: Individual Contributor Job Purpose To build and manage relationship with new and existing clients so as to ensure income generation from sale of all appropriate asset and liability products relevant to the client Job Responsibilities(JR) Actionable   Portfolio Management To Achieve over all business targets on volumes and profitability for the specific ECG customers. Monthly review to be done with various product groups and supervisors who support the RM portfolio (plan Vs achievement) and other cross function teams to ensure better product penetration.To keep a check on the performance of accounts and overall portfolio.Portfolio review and remedial management includes managing exits, line reductions, recovery and restructuring of exposures. Management of stress and critical accounts.Improvement on yield for the Bank so that the Portfolio has a strong Return on capital RM portfolio level.Keep a track on Performance, variance with budgets and plans to meet shortfall for his / her own portfolio.Client Calls should be updated in the CRM systems for future guidance and monitoring of accounts and also to assign tasks & leads to other departments.   Increased Product PenetrationWallet share identification and scoping of all accounts  existing and potential NTB customersScope for possible product penetration and provide strategy on the specific accounts.Cross sell of all products of the Bank and be the front face of the bank for all products.     Operations & Processes Ensure that all the management guidance is properly adhered to for effective management guidance implementation.KYC / AML tracking of the customers handled by the RMAll documentation formalities to be done for effective pre and post disbursement of facilities or banking products.Tracking of deferrals and updating all information as per RBI and credit regulations on the specific accounts. Management of deferrals/ pre and post documentationCredit appraisal process to be done timely - Recommendation of Credit Limits    Client Management & Servicing RMs should be on regular client calls for both existing and prospective clients. These calls should be done in a structured manner either individually or with support groups, branches or supervisors.Relationship building with both internal and external customer of the RM. Client satisfaction and taking care of all banking needs of the customer.Communicate all pain areas of the customer so that support functions help in resolving the same through process improvement / TAT for higher product share.Interaction with promoters and senior management of ECG relationships to build a strong relationship with the clients.To make sure high level of client satisfaction.  Intra Bank Coordination & Communication Team management – working as a team and do act as support to other team members when required. In line with Banks initiatives of growth.Interacting with various departments of the Bank and providing them with insight on ECG business and to get inputs on their business for cross sell at the region level. Educational QualificationsKey Skills Graduation: Post-Graduation: Certifications: MBA from a reputed institute CA  Sales and Influencing SkillsBanking Product & Process KnowledgeTeam PlayerPlanning and Organizing SkillsClient Handling SkillsCommunicationEnergetic, Dynamic and Self DrivenKnowledge of Competition & Current trends in financial Industry.Experience RequiredMinimum experience in years – 1 yrExposure to banking preferable Major Stakeholders (intra team and cross functional stakeholders, who would need to be interacted with for discharging duties) CustomersOperationsCredit ECG Product Team  Please share updated resume with following details.Current CTC :Current Location:Preferred Location :Last Performance Rating:Notice Period :Please send your resume to Naveen Joshi (naveen.joshi2@hdfcbank.com) for North IndiaPlease send your resume to Honey Vidyarthi (honey.vidyarthi1@hdfcbank.com) for Western India Please send your resume to Suvrajit Ganguly (suvrajit.ganguly@hdfcbank.com) for East India Please send your resume to Pradeep Mastaiah (pradeep.mastaiah@hdfcbank.com) for South India  Thanks and Regards,Abhai SrivastavaTalent Acquisition PartnerWholesale Banking","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Relationship Manager - Emerging Corporates Group  across Pan India
Oracle,2022-03-30,"Technical capability in the areas of Java,J2EE,XML technologies,Webservices,and experience with Building Custom Solutions using the tool stack is a plusAt least two (2) years of software development experience,preferably in a multi-national organization Experience in Application Design and Development Methodology","Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)","Hiring Oracle Utilities Developer (CC&B, MDM,OUAF)"
HDFC Bank,2022-03-29,"Ensure RM / PB activation from the activities above and review of branch performance / resource wise performance / review with CH as and when requiredEducational Background C.A,MBA,Graduate To be the one-stop shop for each of our EEG clients and provide suitable gamut of financial products such as Insurance,CASA,Credit Cards,Other Assets Products as required by the customer","Chennai, Pune, Delhi NCR, Ahmedabad, Bengaluru, Hyderabad, Kolkata, Mumbai (All Areas)",Emerging Enterprise Group - Relationship Manager across Pan India
